x1,x2,x3,x4,x5,x6,y,x7
107.61951,-13.623631,209.36855,102.82406,.46808413,13.563122,192.51163,.44130081
33.587513,-23.371927,225.08479,139.88103,3.7255666,48.181801,-990.60114,.39142758
-4.5996656,-1.845957,190.21161,87.637749,1.638929,-39.437923,356.62704,.23013461
27.162687,-3.7164359,142.04376,164.99074,.36910042,-2.7458093,515.06104,.39422756
18.29637,-48.722527,242.83101,128.59225,.83363575,56.981712,-6500.2524,.49606067
12.147639,-6.7192307,190.68037,126.0899,4.5742097,-22.919134,620.82001,.041783541
19.579491,-15.60857,164.11287,142.05087,2.4048936,-16.102253,-154.75761,.41315421
34.743759,-12.801431,144.45732,125.48498,.31280902,-5.7184267,267.46573,.17418541
63.211338,-17.941889,162.38885,95.976265,3.3158829,48.328289,-143.97928,.13021679
53.353355,-29.071693,159.58647,151.78365,.46805969,-21.537817,-1641.0623,.26637006
51.696342,-19.183455,192.47884,157.53729,3.9689169,35.535122,-499.57648,.48074701
36.128014,-34.78326,159.71567,132.7489,2.2864056,-1.4911338,-2859.9141,.034133978
50.511669,-18.529886,206.52144,109.24405,4.9739823,-30.987101,-504.66406,.14355688
-2.1247995,5.8771582,142.65154,111.89467,1.9651867,-18.544254,540.97314,.021776125
16.300613,-30.610302,189.9697,145.22711,3.2684426,43.610821,-2134.783,.015114984
7.135231,-29.287659,182.98726,95.986717,1.5848126,-26.134596,-2102.9167,.31266499
79.352341,-4.4076715,183.41792,117.12056,3.0132244,-38.26144,772.32349,.20234409
67.665504,-40.363609,175.24072,133.66513,1.5665388,10.532766,-4238.5386,.32264251
-53.701187,-23.950712,125.04433,139.0739,4.0670238,-28.639841,-1209.4629,.056094613
-21.739641,-25.917738,146.94357,131.25438,.16368136,60.323071,-1464.3446,.062059037
32.980202,-14.201792,190.01541,116.57559,1.0559129,57.962074,89.797813,.32411692
49.700176,-17.830128,170.80347,116.4501,2.5959761,16.80172,-305.48462,.2278524
60.529827,-39.887093,174.84921,125.44108,3.0808821,-19.489473,-4122.043,.075999372
9.9939871,-1.9158715,188.4095,130.81575,.6556626,63.206444,682.76593,.12681818
65.486687,-12.989234,206.19856,111.4213,4.561049,50.317009,245.30774,.07261385
59.874161,-39.683338,217.8647,181.86382,1.8200802,34.718674,-3992.9734,.3599638
75.703461,-21.422798,151.98235,154.08923,2.6114876,.20045327,-597.44373,.36447823
18.121513,-28.489519,122.44675,96.018402,.32273969,29.124607,-2068.2297,.38917097
-11.353334,-6.2643614,147.23489,138.90858,3.0713673,-4.9128504,422.82251,.35385296
47.05822,-19.862169,227.64738,120.36826,.57503396,72.319359,-430.77945,.18250358
31.030743,.97314745,142.42638,155.90173,4.0100183,-69.094475,793.87122,.051868808
-2.2538824,-29.471128,130.31737,131.58221,.48796853,-49.823353,-2155.5144,.2613084
-9.8013144,-27.605339,205.895,113.66933,1.1010901,-22.194288,-1559.4873,.040132541
19.343801,3.0067439,186.62018,136.84099,4.5153227,90.658813,571.09424,.12271762
46.369469,-21.975258,123.78719,114.99368,3.9472406,-48.729385,-861.91302,.0054432647
9.8995619,-36.722725,175.45535,152.27306,3.7659955,-17.674875,-3526.7065,.10885658
-5.195395,-25.36034,204.18089,126.9603,.38489613,9.8487673,-1305.7576,.084254354
5.6786313,-4.0464802,167.98801,118.90514,1.1770526,6.6248331,764.31201,.2475809
51.744904,-14.195345,193.60249,125.38634,2.9660115,3.8929491,-69.30471,.11404758
57.535267,-10.894102,191.12135,128.07146,1.9129473,-33.95895,157.32645,.38110334
-5.8635545,-27.87771,166.65678,136.17543,.36407733,16.415295,-1591.9729,.024459727
31.946608,5.5827193,185.42216,135.74132,.88355809,-33.035519,491.75858,.3169412
139.46817,-43.237682,170.64995,163.87677,.66262895,12.676306,-4587.5503,.46070987
-19.205524,-32.712837,126.15203,141.97826,.67526716,8.7714205,-2552.5374,.14813451
60.156147,-3.4767179,146.07416,139.05316,3.4698462,-11.871603,691.91071,.24787611
88.055847,-19.587545,206.40128,164.7451,2.2349248,-44.759155,-408.31372,.3078931
30.19648,3.4658618,240.8231,132.34451,2.0205123,-22.922747,652.03345,.43183574
78.833595,-17.784403,221.93269,143.83592,2.4328265,35.628407,-325.6265,.082262792
7.1286111,-14.136561,154.04688,169.25505,3.2691107,-18.481798,97.931717,.077703871
88.597282,-25.026001,210.81215,129.35527,4.9142575,-21.167957,-1156.9806,.38570783
82.855911,-1.1991237,205.48943,117.85908,.65185839,-5.8930793,943.1283,.19007078
51.831921,-28.837772,212.88539,167.79834,2.9582188,50.005066,-1753.4487,.0087357303
39.382793,-36.31181,141.86739,121.11126,4.7486634,9.1483078,-3256.8542,.075189605
98.61438,-23.140917,174.39925,89.136223,4.7975297,21.806664,-998.25647,.44605511
19.779629,-32.446686,143.5979,99.039886,4.8155637,-55.754692,-2694.3928,.44147891
37.433899,-27.838404,138.95522,81.608856,.92951542,14.276455,-1830.0437,.32336503
24.553108,-23.628969,158.00266,105.40192,3.0155969,-10.738123,-1049.7158,.11063808
